[1] = {502, 6, 315.85800170898, -1769.4300537109, 4.6223998069763, 'Beach Avenue', 1000000},
[2] = {503, 19, 305.40200805664, -1770.3000488281, 4.5384302139282, 'Beach Avenue', 300000},
[3] = {506, 10, 295.37200927734, -1764.1199951172, 4.8699998855591, 'Beach Avenue', 340000},
[4] = {507, 11, 280.89401245117, -1767.0699462891, 4.5468797683716, 'Beach Avenue', 1},
[5] = {508, 6, 207.01300048828, -1768.8800048828, 4.3698401451111, 'Beach Avenue', 600000},
[6] = {509, 6, 192.84599304199, -1769.4000244141, 4.3285999298096, 'Beach Avenue', 1},
[7] = {510, 1, 168.28900146484, -1768.4100341797, 4.4869799613953, 'Beach Avenue', 1},
[8] = {511, 23, 418.45199584961, -1506.1199951172, 31.308599472046, 'Carnival Rd', 35000},
[9] = {512, 19, 462.28799438477, -1529.4399414063, 29.94580078125, 'Carnival Rd', 70000},
[10] = {513, 19, 507.49200439453, -1609.6999511719, 16.26070022583, 'Carnival Rd', 100000},
[11] = {514, 15, 1179.8900146484, -1261.0100097656, 15.179699897766, 'All Saints Apartment', 40000},
[12] = {515, 15, 1187.4399414063, -1260.9399414063, 15.179699897766, 'All Saints Apartment', 50000},
[13] = {516, 15, 1187.3599853516, -1254.7199707031, 15.179699897766, 'All Saints Apartment', 1},
[14] = {517, 15, 1179.8100585938, -1254.7800292969, 15.179699897766, 'All Saints Apartment', 50000},
[15] = {518, 15, 1187.3599853516, -1254.7199707031, 18.890800476074, 'All Saints Apartment', 40000},
[16] = {519, 15, 1179.8100585938, -1254.7900390625, 18.890800476074, 'All Saints Apartment', 50000},
[17] = {520, 15, 1187.4399414063, -1260.9499511719, 18.898399353027, 'All Saints Apartment', 50000},
[18] = {521, 15, 1179.8900146484, -1261.0200195313, 18.898399353027, 'All Saints Apartment', 50000},
[19] = {522, 15, 1179.8900146484, -1233.4000244141, 18.55470085144, 'All Saints Apartment', 50000},
[20] = {523, 15, 1187.4399414063, -1233.2600097656, 18.55470085144, 'All Saints Apartment', 50000},
[21] = {524, 15, 1179.8100585938, -1227.1300048828, 18.55470085144, 'All Saints Apartment', 50000},
[22] = {525, 15, 1187.3599853516, -1227.1099853516, 18.55470085144, 'All Saints Apartment', 50000},
[23] = {526, 15, 1187.3599853516, -1227.0999755859, 22.132900238037, 'All Saints Apartment', 50000},
[24] = {527, 15, 1179.8100585938, -1227.1700439453, 22.132900238037, 'All Saints Apartment', 50000},
[25] = {528, 15, 1187.4399414063, -1233.3000488281, 22.140600204468, 'All Saints Apartment', 50000},
[26] = {529, 15, 1179.8900146484, -1233.3800048828, 22.140600204468, 'All Saints Apartment', 50000},
[27] = {530, 6, 2787.0700683594, -1952.5799560547, 13.546899795532, 'Palin St.', 1},
[28] = {531, 6, 2787.080078125, -1926.1999511719, 13.546899795532, 'Palin St.', 1},
[29] = {532, 6, 2751.5, -1962.8699951172, 13.546899795532, 'Palin St.', 200000},
[30] = {533, 6, 2751.5, -1936.4399414063, 13.539400100708, 'Palin St.', 200000},
[31] = {534, 6, 2736.6499023438, -1926.2600097656, 13.546899795532, 'Palin St.', 200000},
[32] = {535, 6, 2736.6499023438, -1952.5600585938, 13.546899795532, 'Palin St.', 200000},
[33] = {536, 21, 2696.4099121094, -1990.3599853516, 14.222900390625, 'New Avenue St.', 150000},
[34] = {537, 21, 2695.3601074219, -2020.5500488281, 14.022299766541, 'New Avenue St.', 150000},
[35] = {538, 6, 2801.919921875, -1936.2700195313, 13.546899795532, 'Palin St.', 200000},
[36] = {539, 21, 2672.7800292969, -1989.4699707031, 14.324000358582, 'New Avenue St.', 150000},
[37] = {540, 6, 2801.919921875, -1962.8100585938, 13.546899795532, 'Palin St.', 200000},
[38] = {541, 21, 2673.1101074219, -2020.2800292969, 14.168199539185, 'New Avenue St.', 150000},
[39] = {542, 21, 2650.6999511719, -2021.8800048828, 14.176600456238, 'New Avenue St.', 150000},
[40] = {543, 21, 2635.580078125, -2012.8800048828, 14.144300460815, 'New Avenue St.', 150000},
[41] = {544, 21, 2637.0600585938, -1991.7199707031, 14.324000358582, 'New Avenue St.', 150000},
[42] = {545, 21, 2652.7800292969, -1989.4200439453, 13.99880027771, 'New Avenue St.', 150000},
[43] = {546, 21, 2437.8999023438, -2020.8399658203, 13.902500152588, 'Belmont Drive', 250000},
[44] = {547, 21, 2465.1398925781, -1995.75, 14.019300460815, 'Belmont Drive', 250000},
[45] = {548, 21, 2465.3898925781, -2020.7900390625, 14.124199867249, 'Belmont Drive', 250000},
[46] = {549, 21, 2483.4599609375, -1995.3399658203, 13.834300041199, 'Belmont Drive', 250000},
[47] = {550, 21, 2486.419921875, -2021.5500488281, 13.99880027771, 'Belmont Drive', 250000},
[48] = {551, 21, 2508.3000488281, -1998.3699951172, 13.902500152588, 'Belmont Drive', 250000},
[49] = {552, 21, 2507.919921875, -2021.0500488281, 14.21010017395, 'Belmont Drive', 250000},
[50] = {553, 21, 2522.7800292969, -2018.9699707031, 14.07439994812, 'Belmont Drive', 250000},
[51] = {554, 21, 2524.3500976563, -1998.3100585938, 14.11310005188, 'Belmont Drive', 250000},
[52] = {555, 2, 2385.3500976563, -1711.6600341797, 14.242199897766, 'Tory Street', 100000},
[53] = {556, 2, 2326.75, -1716.6999511719, 14.237899780273, 'Tory Street', 100000},
[54] = {557, 2, 2308.8601074219, -1714.3299560547, 14.98009967804, 'Tory Street', 300000},
[55] = {558, 17, 2380.6799316406, -1785.8100585938, 13.546899795532, 'Bijlmer Flat', 70000},
[56] = {559, 17, 2359.8601074219, -1795.9699707031, 13.546899795532, 'Bijlmer Flat', 70000},
[57] = {560, 17, 2394.9599609375, -1796.0100097656, 13.546899795532, 'Bijlmer Flat', 70000},
[58] = {561, 14, 2247.0700683594, -1795.9200439453, 13.546899795532, 'Bijlmer Flat', 70000},
[59] = {562, 17, 2321.9599609375, -1796.0200195313, 13.546899795532, 'Bijlmer Flat', 70000},
[60] = {563, 14, 2275.8500976563, -1785.7900390625, 13.546899795532, 'Bijlmer Flat', 70000},
[61] = {564, 17, 2345.580078125, -1785.7299804688, 13.546899795532, 'Bijlmer Flat', 70000},
[62] = {565, 11, 2495.3701171875, -1691.1400146484, 14.765600204468, 'Grove Street', 1},
[63] = {566, 3, 2514.3400878906, -1691.5899658203, 14.045999526978, 'Grove Street', 120000},
[64] = {568, 3, 2524.7099609375, -1658.5899658203, 15.824000358582, 'Grove Street', 120000},
[65] = {569, 3, 2513.7099609375, -1650.2399902344, 14.355699539185, 'Grove Street', 120000},
[66] = {570, 23, 2068.1398925781, -1588.8599853516, 13.490500450134, 'Hobo Place', 1},
[67] = {571, 3, 2498.5600585938, -1642.2600097656, 14.11310005188, 'Grove Street', 200000},
[68] = {572, 23, 2065.3100585938, -1583.3599853516, 13.481100082397, 'Hobo Place', 1},
[69] = {573, 23, 2073.3701171875, -1583.1600341797, 13.473899841309, 'Hobo Place', 1},
[70] = {574, 23, 2076.25, -1588.6700439453, 13.491700172424, 'Hobo Place', 1},
[71] = {575, 23, 2072.4399414063, -1559.3100585938, 13.409199714661, 'Hobo Place', 8000},
[72] = {576, 23, 2066.9599609375, -1562.0300292969, 13.428600311279, 'Hobo Place', 1},
[73] = {577, 23, 2066.8000488281, -1554.0899658203, 13.435000419617, 'Hobo Place', 1},
[74] = {578, 23, 2072.2700195313, -1551.2900390625, 13.423299789429, 'Hobo Place', 8000},
[75] = {579, 6, 2486.4799804688, -1644.5300292969, 14.077199935913, 'Grove Street', 1},
[76] = {580, 2, 2469.5100097656, -1646.3499755859, 13.780099868774, 'Grove Street', 120000},
[77] = {581, 2, 2452, -1641.4100341797, 14.066200256348, 'Grove Street', 120000},
[78] = {582, 2, 2413.8500976563, -1646.7900390625, 14.01189994812, 'Grove Street', 500000},
[79] = {583, 2, 2408.9499511719, -1674.9300537109, 14.375, 'Grove Street', 120000},
[80] = {584, 2, 2393.1899414063, -1646.0300292969, 13.905099868774, 'Grove Street', 130000},
[81] = {585, 2, 2384.7099609375, -1675.8399658203, 15.245699882507, 'Grove Street', 120000},
[82] = {586, 2, 2368.2399902344, -1675.3499755859, 14.168199539185, 'Grove Street', 120000},
[83] = {587, 2, 2362.919921875, -1643.1400146484, 14.351599693298, 'Grove Street', 120000},
[84] = {588, 4, 2067.6999511719, -1628.8900146484, 14.206600189209, 'Kennedy Park', 100000},
[85] = {589, 4, 2067.5600585938, -1643.75, 14.136300086975, 'Kennedy Park', 100000},
[86] = {590, 4, 2066.7399902344, -1656.4499511719, 14.132800102234, 'Kennedy Park', 100000},
[87] = {591, 2, 2326.8798828125, -1681.8699951172, 14.929699897766, 'Grove Street', 120000},
[88] = {592, 4, 2013.5799560547, -1656.3900146484, 14.136300086975, 'Kennedy Park', 100000},
[89] = {593, 2, 2306.9799804688, -1679.1999511719, 14.331600189209, 'Grove Street', 120000},
[90] = {594, 4, 2016.5400390625, -1641.7700195313, 14.112899780273, 'Kennedy Park', 100000},
[91] = {595, 4, 2018.0600585938, -1629.8900146484, 14.04259967804, 'Kennedy Park', 100000},
[92] = {596, 2, 2282.3200683594, -1641.2099609375, 15.889800071716, 'Grove Street', 120000},
[93] = {597, 2, 2257.1201171875, -1643.9399414063, 15.808199882507, 'Grove Street', 120000},
[94] = {598, 2, 2244.5400390625, -1637.6400146484, 16.237899780273, 'Grove Street', 120000},
[95] = {599, 17, 2018.2399902344, -1703.2299804688, 14.234399795532, 'McCain Park', 100000},
[96] = {600, 17, 2016.1999511719, -1717.0400390625, 14.125, 'McCain Park', 100000},
[97] = {601, 17, 2015.3499755859, -1732.6199951172, 14.234399795532, 'McCain Park', 100000},
[98] = {602, 17, 2067.0500488281, -1731.6199951172, 14.206600189209, 'McCain Park', 100000},
[99] = {603, 17, 2066.2399902344, -1717.1600341797, 14.136300086975, 'McCain Park', 100000},
[100] = {604, 17, 2065.1000976563, -1703.4499511719, 14.148400306702, 'McCain Park', 100000},
[101] = {605, 14, 2143.1298828125, -1604.7199707031, 14.351599693298, 'Grove Street', 20000},
[102] = {606, 14, 2158.3500976563, -1611.3100585938, 14.351599693298, 'Grove Street', 9000},
[103] = {607, 14, 2172.6101074219, -1615.2399902344, 14.283499717712, 'Grove Street', 9000},
[104] = {608, 14, 2158.3000488281, -1611.2900390625, 14.351400375366, 'Grove Street', 10000},
[105] = {609, 14, 2179.1000976563, -1600.0799560547, 14.345999717712, 'Grove Street', 9000},
[106] = {610, 14, 2165.6101074219, -1590.5200195313, 14.346199989319, 'Grove Street', 9000},
[107] = {611, 14, 2150.419921875, -1583.9699707031, 14.336000442505, 'Grove Street', 9000},
[108] = {612, 14, 2151.1799316406, -1598.4699707031, 14.345700263977, 'Grove Street', 9000},
[109] = {613, 14, 2135.9699707031, -1591.9799804688, 14.351599693298, 'Grove Street', 9000},
[110] = {614, 14, 2143.1999511719, -1571.1700439453, 14.193900108337, 'Grove Street', 9000},
[111] = {615, 14, 2158.4799804688, -1577.6999511719, 14.282699584961, 'Grove Street', 9000},
[112] = {616, 14, 2191.8999023438, -1592.9699707031, 14.351599693298, 'Grove Street', 9000},
[113] = {617, 14, 2185.330078125, -1608.1099853516, 14.359399795532, 'Grove Street', 9000},
[114] = {618, 14, 2163.7600097656, -1661.1999511719, 15.085900306702, 'Grove Street', 9000},
[115] = {619, 14, 2156.1201171875, -1651.8100585938, 15.078399658203, 'Grove Street', 9000},
[116] = {620, 14, 2143.6499023438, -1662.8599853516, 15.085900306702, 'Grove Street', 9000},
[117] = {621, 14, 2151.4099121094, -1672.2600097656, 15.085900306702, 'Grove Street', 9000},
[118] = {622, 14, 2144.5900878906, -1688.9100341797, 15.085900306702, 'Grove Street', 15000},
[119] = {623, 14, 2128.169921875, -1687.9899902344, 15.085900306702, 'Grove Street', 15000},
[120] = {624, 14, 2139.1000976563, -1697.5100097656, 15.085900306702, 'Grove Street', 15000},
[121] = {625, 14, 2155.5600585938, -1698.5100097656, 15.085900306702, 'Grove Street', 20000},
[122] = {626, 14, 2157.0600585938, -1709.2199707031, 15.085900306702, 'Grove Street', 15000},
[123] = {627, 14, 2168.0900878906, -1718.8199462891, 15.167200088501, 'Grove Street', 15000},
[124] = {628, 14, 2151.6499023438, -1717.8299560547, 15.085900306702, 'Grove Street', 9000},
[125] = {629, 14, 2140.6499023438, -1708.3100585938, 15.085900306702, 'Grove Street', 9000},
[126] = {630, 14, 2141.4599609375, -1652.8900146484, 15.085900306702, 'Grove Street', 9000},
[127] = {631, 14, 2129.1999511719, -1663.8499755859, 15.085900306702, 'Grove Street', 9000},
[128] = {632, 14, 2178.330078125, -1660.1999511719, 14.978300094604, 'Grove Street', 9000},
[129] = {633, 14, 2165.919921875, -1671.2099609375, 15.07320022583, 'Grove Street', 20000},
[130] = {634, 14, 2232.7900390625, -1785.7299804688, 13.560000419617, 'Bijlmer Flat', 70000},
[131] = {635, 30, 2011.4699707031, -1594.2800292969, 13.583700180054, 'Mason St.', 120000},
[132] = {636, 30, 2002.5200195313, -1593.9000244141, 13.577699661255, 'Mason St.', 120000},
